number,name,age,position,nation,team,value
1,Kylian Mbappé,"<td class=""zentriert"">23</td>",Centre-Forward,France,Paris Saint-Germain,€160.00m
2,Erling Haaland,"<td class=""zentriert"">22</td>",Centre-Forward,Norway,Manchester City,€150.00m
3,Vinicius Junior,"<td class=""zentriert"">22</td>",Left Winger,Brazil,Real Madrid,€100.00m
4,Phil Foden,"<td class=""zentriert"">22</td>",Central Midfield,England,Manchester City,€90.00m
5,Mohamed Salah,"<td class=""zentriert"">30</td>",Right Winger,Egypt,Liverpool FC,€90.00m
6,Harry Kane,"<td class=""zentriert"">29</td>",Centre-Forward,England,Tottenham Hotspur,€90.00m
7,Dušan Vlahović,"<td class=""zentriert"">22</td>",Centre-Forward,Serbia,Juventus FC,€85.00m
8,Bruno Fernandes,"<td class=""zentriert"">27</td>",Attacking Midfield,Portugal,Manchester United,€85.00m
9,Kevin De Bruyne,"<td class=""zentriert"">31</td>",Attacking Midfield,Belgium,Manchester City,€85.00m
10,Pedri,"<td class=""zentriert"">19</td>",Central Midfield,Spain,FC Barcelona,€80.00m
11,Jude Bellingham,"<td class=""zentriert"">19</td>",Central Midfield,England,Borussia Dortmund,€80.00m
12,Declan Rice,"<td class=""zentriert"">23</td>",Defensive Midfield,England,West Ham United,€80.00m
13,Rodri,"<td class=""zentriert"">26</td>",Defensive Midfield,Spain,Manchester City,€80.00m
14,Christopher Nkunku,"<td class=""zentriert"">24</td>",Second Striker,France,RB Leipzig,€80.00m
15,Trent Alexander-Arnold,"<td class=""zentriert"">23</td>",Right-Back,England,Liverpool FC,€80.00m
16,Bernardo Silva,"<td class=""zentriert"">27</td>",Attacking Midfield,Portugal,Manchester City,€80.00m
17,Joshua Kimmich,"<td class=""zentriert"">27</td>",Defensive Midfield,Germany,Bayern Munich,€80.00m
18,Lautaro Martínez,"<td class=""zentriert"">24</td>",Centre-Forward,Argentina,Inter Milan,€75.00m
19,Jadon Sancho,"<td class=""zentriert"">22</td>",Left Winger,England,Manchester United,€75.00m
20,Mason Mount,"<td class=""zentriert"">23</td>",Attacking Midfield,England,Chelsea FC,€75.00m
21,Rúben Dias,"<td class=""zentriert"">25</td>",Centre-Back,Portugal,Manchester City,€75.00m
22,Heung-min Son,"<td class=""zentriert"">30</td>",Left Winger,"Korea, South",Tottenham Hotspur,€75.00m
23,Neymar,"<td class=""zentriert"">30</td>",Left Winger,Brazil,Paris Saint-Germain,€75.00m
24,Florian Wirtz,"<td class=""zentriert"">19</td>",Attacking Midfield,Germany,Bayer 04 Leverkusen,€70.00m
25,João Félix,"<td class=""zentriert"">22</td>",Second Striker,Portugal,Atlético de Madrid,€70.00m
